명령어,사용법,설명,결과,비고
/order,/order,최근 주문 목록 조회 (5건씩 페이지네이션),주문 리스트 + [상세] 버튼 + [이전/다음] 페이지,
/order,/order [이름],고객명으로 주문 검색,"예: /order 강동현 → 강동현 주문만 표시",
/order,/order [상태],"상태별 필터 (대기, 진행중, 완료, 취소)","예: /order 진행중",
/order,/order 추가,주문 등록 모달 열기,"모달에서 주문자/상품/수량/배송지 등 입력 후 등록",/order-add 도 동일
/contact,/contact,전체 연락처 목록 (타입별 그룹핑),"이름, 연락처, 주소, 메모 표시",
/contact,/contact [이름 또는 번호],연락처 검색,"예: /contact 강동현 또는 /contact 010-9533",
/contact,/contact 추가,연락처 등록 모달 열기,"이름, 분류, 전화번호, 주소, 메모 입력",
/contact,/contact 수정 [이름],연락처 수정,"검색 결과에서 [수정] 버튼 클릭 → 수정 모달",
/contact,/contact 삭제 [이름],연락처 삭제,"정확한 이름 입력 필요, 여러 명 매칭 시 안내",
/contact-type,/contact-type,연락처 타입 목록,"고객, 화물/배차 등 + 기본 여부 표시",
/contact-type,/contact-type 추가,타입 추가 모달 열기,"이름, slug 입력",
/contact-type,/contact-type 추가 [이름] [slug],타입 인라인 추가,"예: /contact-type 추가 원단업체 fabric",
/contact-type,/contact-type 삭제 [이름],타입 삭제,기본 타입은 삭제 불가,
/sms,/sms,문자 발송 모달 열기,"받는 사람 검색 → 대화 내역 표시 → 메시지 입력 → 발송",/문자 도 동일
/sms,/sms [번호] [메시지],문자 바로 발송,"예: /sms 010-1234-5678 내일 배송 예정입니다",
/sms,/sms [이름] [메시지],이름으로 발송,"예: /sms 강동현 내일 배송 예정입니다 → 연락처 검색 후 발송",
/stock,/stock,전체 재고 현황,"품목별 수량, 부족 여부 표시",
/stock,/stock 부족,부족 재고만 표시,최소 기준 이하 항목만,
/stock,/stock [SKU 또는 이름],특정 품목 상세,"예: /stock CANVAS-300",
/stock-in,/stock-in,입고 처리 모달 열기,"품목 선택, 수량, 사유 입력 → 입고 처리",
/stock-out,/stock-out,출고 처리 모달 열기,"품목 선택, 수량, 사유 입력 → 출고 처리",
/operation,/operation,오퍼레이션 칸반 보드,"미배정/접수/제작/배송중 단계별 주문 현황 + [상세] 버튼",
/operation,/operation [단계명],특정 단계 상세,"예: /operation 접수 → 접수 단계 주문 목록 + 버튼",
/dashboard,/dashboard,운영 현황 대시보드,"재고 현황 + 진행중 주문 요약",
/profile,/profile,프로필 목록,"이름, 설명, 상품, 필수 연락처 표시 + [수정] 버튼",
/profile,/profile [이름],프로필 검색,"예: /profile 표준",
/profile,/profile 수정 [이름],프로필 수정,"이름, 설명만 수정 가능",

주문 상세 모달 버튼
기능,설명
[접수 시작],미배정 주문을 접수 단계로 이동
[연락처 배정],미배정 연락처 타입별 검색 → 배정
[체크리스트 작성],현재 단계 체크리스트 모달
[보내기],템플릿별 SMS 발송 모달 (대화 내역 포함)
[삭제],주문 삭제 (확인 다이얼로그 후 삭제)

오퍼레이션 단계 상세 버튼
기능,설명
[주문 상세],주문 상세 모달 열기
[체크리스트],체크리스트 작성 모달
[다음 단계로],다음 단계로 이동 (마감일 선택 가능)
[완료하기],마지막 단계에서 주문 완료 처리

자동 알림 (웹훅)
채널,이벤트,내용
#주문,새 주문 등록,주문자/상품/단계/주소/납기
#주문,주문 삭제,주문자/상품
#오퍼레이션,단계 이동,"접수 → 제작 등"
#오퍼레이션,마감일 변경,이전 마감 → 새 마감
#오퍼레이션,상태 변경,"진행중 → 완료 등"
#재고,입출고,품목/수량/사유
#재고,재고 부족,품목/현재수량/기준수량
#cs-sms,SMS 발신,받는 사람/내용/발신자
#cs-sms,SMS 수신,"보낸 사람/내용 + [답장] [연락처 등록] 버튼"
